scale,metric,value,ic_lo_95,ic_hi_95
Daily,H(TSA),1.7788749670199857,,
Daily,H(PSI),1.3091473374915195,,
Daily,PE(TSA),0.9044781331334238,,
Daily,PE(PSI),0.8231371509378452,,
Daily,LZC(TSA),0.1254125412541254,,
Daily,LZC(PSI),0.09873487348734873,,
Daily,I(TSA;PSI),0.7556986975054607,,
Monthly,H(TSA),2.761467676510298,,
Monthly,H(PSI),2.606327041952915,,
Monthly,PE(TSA),0.9972962317591406,,
Monthly,PE(PSI),0.9838097149705257,,
Monthly,LZC(TSA),0.3893129770992366,,
Monthly,LZC(PSI),0.366412213740458,,
Monthly,I(TSA;PSI),2.0433199249972276,,
Annual,H(TSA),2.625814583683812,,
Annual,H(PSI),2.5849625007110566,,
Annual,PE(TSA),0.6520308502546351,,
Annual,PE(PSI),0.6520308502546351,,
Annual,LZC(TSA),0.75,,
Annual,LZC(PSI),0.75,,
Annual,I(TSA;PSI),2.355388542207534,,
26m_window_max,H_TSA,2.9210296217246308,2.1728691862931573,2.994111719028097
26m_window_min,H_TSA,0.6219041416247912,-1.4428232973175177e-12,1.0577422381227313
26m_window_max,H_PSI,2.9800914122357787,2.2996965688575073,3.0168075061735946
26m_window_min,H_PSI,0.6219041416247912,-1.4428232973175177e-12,1.0577422381227313
26m_window_max,LZC_TSA,0.6538461538461539,0.5384615384615384,0.6538461538461539
26m_window_min,LZC_TSA,0.3461538461538461,0.2692307692307692,0.4615384615384615
26m_window_max,LZC_PSI,0.6923076923076923,0.5384615384615384,0.6923076923076923
26m_window_min,LZC_PSI,0.3461538461538461,0.3076923076923077,0.4230769230769231
26m_window_max,MI,2.3356726621655532,1.7868149095224768,2.51694356686544
26m_window_min,MI,0.4410203602553028,0.0963610558793642,0.6904942318427733
26m_window_max,PE_TSA,0.9941242220356789,,
26m_window_min,PE_TSA,0.8793673110428117,,
26m_window_max,PE_PSI,0.9941242220356789,,
26m_window_min,PE_PSI,0.8659166507994516,,
fig7,Pearson_r_H_LZC,0.9656229158288938,,
fig7,Pearson_p_H_LZC,1.1357327301575855e-62,,
fig6,KS_D_MI,0.39622641509433965,,
fig6,KS_p_MI,0.00041991009107145,,
fig6,KS_D_LZC_TSA,0.3584905660377358,,
fig6,KS_p_LZC_TSA,0.0020217061601929603,,
monthly_window,C_LMC_TSA_max,0.2370999643439968,,
monthly_window,C_LMC_TSA_min,0.1000297988772459,,
monthly_window,C_LMC_PSI_max,0.2316044407381311,,
monthly_window,C_LMC_PSI_min,0.0887672436036563,,
monthly_window,H_norm_TSA_at_C_max,0.5894221009921766,,
monthly_window,H_norm_TSA_at_C_min,0.879317534366051,,
monthly_window,C_LMC_TSA_max_date,2016.6666666666667,,
